Sample Name	Protocol REF	Paramter Value[Organism part]	Term Source REF	Term Accession Number	Parameter Value[Trait Definition File]	Factor Value[Rep]	Assay Name	Raw Data File	Protocol REF	Derived Data File
sample19	Phenotyping				tdf.txt	2	assay79	NA	Data transformation	d_results.txt
sample20	Phenotyping				tdf.txt	2	assay80	NA	Data transformation	d_results.txt
sample21	Phenotyping				tdf.txt	2	assay81	NA	Data transformation	d_results.txt
sample22	Phenotyping				tdf.txt	2	assay82	NA	Data transformation	d_results.txt
sample23	Phenotyping				tdf.txt	2	assay83	NA	Data transformation	d_results.txt
sample24	Phenotyping				tdf.txt	2	assay84	NA	Data transformation	d_results.txt
sample25	Phenotyping				tdf.txt	2	assay85	NA	Data transformation	d_results.txt
sample26	Phenotyping				tdf.txt	2	assay86	NA	Data transformation	d_results.txt
sample27	Phenotyping				tdf.txt	2	assay87	NA	Data transformation	d_results.txt
sample28	Phenotyping				tdf.txt	2	assay88	NA	Data transformation	d_results.txt
sample29	Phenotyping				tdf.txt	2	assay89	NA	Data transformation	d_results.txt
sample30	Phenotyping				tdf.txt	2	assay90	NA	Data transformation	d_results.txt
sample31	Phenotyping				tdf.txt	2	assay91	NA	Data transformation	d_results.txt
sample32	Phenotyping				tdf.txt	2	assay92	NA	Data transformation	d_results.txt
sample33	Phenotyping				tdf.txt	2	assay93	NA	Data transformation	d_results.txt
sample34	Phenotyping				tdf.txt	2	assay94	NA	Data transformation	d_results.txt
sample35	Phenotyping				tdf.txt	2	assay95	NA	Data transformation	d_results.txt
sample36	Phenotyping				tdf.txt	2	assay96	NA	Data transformation	d_results.txt
sample37	Phenotyping				tdf.txt	2	assay97	NA	Data transformation	d_results.txt
sample38	Phenotyping				tdf.txt	2	assay98	NA	Data transformation	d_results.txt
sample39	Phenotyping				tdf.txt	2	assay99	NA	Data transformation	d_results.txt
sample40	Phenotyping				tdf.txt	2	assay100	NA	Data transformation	d_results.txt
sample41	Phenotyping				tdf.txt	2	assay101	NA	Data transformation	d_results.txt
sample42	Phenotyping				tdf.txt	2	assay102	NA	Data transformation	d_results.txt
sample43	Phenotyping				tdf.txt	2	assay103	NA	Data transformation	d_results.txt
sample44	Phenotyping				tdf.txt	2	assay104	NA	Data transformation	d_results.txt
sample45	Phenotyping				tdf.txt	2	assay105	NA	Data transformation	d_results.txt
sample46	Phenotyping				tdf.txt	2	assay106	NA	Data transformation	d_results.txt
sample47	Phenotyping				tdf.txt	2	assay107	NA	Data transformation	d_results.txt
sample48	Phenotyping				tdf.txt	2	assay108	NA	Data transformation	d_results.txt
sample49	Phenotyping				tdf.txt	2	assay109	NA	Data transformation	d_results.txt
sample50	Phenotyping				tdf.txt	2	assay110	NA	Data transformation	d_results.txt
sample51	Phenotyping				tdf.txt	2	assay111	NA	Data transformation	d_results.txt
sample52	Phenotyping				tdf.txt	2	assay112	NA	Data transformation	d_results.txt
sample53	Phenotyping				tdf.txt	2	assay113	NA	Data transformation	d_results.txt
sample54	Phenotyping				tdf.txt	2	assay114	NA	Data transformation	d_results.txt
sample55	Phenotyping				tdf.txt	2	assay115	NA	Data transformation	d_results.txt
sample56	Phenotyping				tdf.txt	2	assay116	NA	Data transformation	d_results.txt
sample57	Phenotyping				tdf.txt	2	assay117	NA	Data transformation	d_results.txt
sample58	Phenotyping				tdf.txt	2	assay118	NA	Data transformation	d_results.txt
sample59	Phenotyping				tdf.txt	2	assay119	NA	Data transformation	d_results.txt
sample60	Phenotyping				tdf.txt	2	assay120	NA	Data transformation	d_results.txt
