Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Infraspecific name]	Term Source REF	Term Accession Number	Characteristics[Seed origin]	Protocol REF	Parameter Value[Study start]	Parameter Value[Study duration]	Parameter Value[Growth facility]	Parameter Value[Geographic location]	Term Source REF	Term Accession Number	Factor Value[Block]	Protocol REF	Parameter Value[Rooting medium]	Term Source REF	Term Accession Number	Parameter Value[Container type]	Parameter Value[Container volume]	Parameter Value[Container dimension]	Unit	Term Source REF	Term Accession Number	Parameter Value[Number of plants per container]	Parameter Value[pH]	Protocol REF	Parameter Value[Air humidity]	Parameter Value[Daily photon flux]	Parameter Value[Length of light period]	Parameter Value[Day temperature]	Parameter Value[Night temperature]	Protocol REF	Parameter Value[N before fertilisation]	Parameter Value[Type of fertiliser]	Parameter Value[Amount of fertiliser]	Protocol REF	Parameter Value[Irrigation type]	Parameter Value[Volume]	Parameter Value[Frequency]	Protocol REF	Sample Name	Parameter Value[Experimental unit type]
source18								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample18	pot
source19								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample19	pot
source20								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample20	pot
source1								Growth			greenhouse				2	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample21	pot
source2								Growth			greenhouse				2	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample22	pot
source3								Growth			greenhouse				2	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample23	pot
source4								Growth			greenhouse				2	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample24	pot
source5								Growth			greenhouse				2	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample25	pot
source6								Growth			greenhouse				2	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample26	pot
source7								Growth			greenhouse				2	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample27	pot
source8								Growth			greenhouse				2	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample28	pot
source9								Growth			greenhouse				2	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample29	pot
source10								Growth			greenhouse				2	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample30	pot
source11								Growth			greenhouse				2	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample31	pot
source12								Growth			greenhouse				2	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample32	pot
source13								Growth			greenhouse				2	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample33	pot
source14								Growth			greenhouse				2	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample34	pot
source15								Growth			greenhouse				2	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample35	pot
source16								Growth			greenhouse				2	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample36	pot
source17								Growth			greenhouse				2	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample37	pot
source18								Growth			greenhouse				2	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample38	pot
source19								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample39	pot
source20								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample40	pot
source1								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample41	pot
source2								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample42	pot
source3								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample43	pot
source4								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample44	pot
source5								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample45	pot
source6								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample46	pot
source7								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample47	pot
source8								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample48	pot
source9								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample49	pot
source10								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample50	pot
source11								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample51	pot
source12								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample52	pot
source13								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample53	pot
source14								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample54	pot
source15								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample55	pot
source16								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample56	pot
source17								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample57	pot
source18								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample58	pot
source19								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample59	pot
source20								Growth			greenhouse				3	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample60	pot
