Sample Name	Protocol REF	Parameter Value[Organism part]	Term Source REF	Term Accession Number	Parameter Value[Trait Definition File]	Assay Name	Raw Data File	Protocol REF	Derived Data File
Sample29	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay29	NA	Data transformation	d_polapgen_field2012.txt
Sample30	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay30	NA	Data transformation	d_polapgen_field2012.txt
Sample31	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay31	NA	Data transformation	d_polapgen_field2012.txt
Sample32	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay32	NA	Data transformation	d_polapgen_field2012.txt
Sample33	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay33	NA	Data transformation	d_polapgen_field2012.txt
Sample34	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay34	NA	Data transformation	d_polapgen_field2012.txt
Sample35	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay35	NA	Data transformation	d_polapgen_field2012.txt
Sample36	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay36	NA	Data transformation	d_polapgen_field2012.txt
Sample37	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay37	NA	Data transformation	d_polapgen_field2012.txt
Sample38	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay38	NA	Data transformation	d_polapgen_field2012.txt
Sample39	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay39	NA	Data transformation	d_polapgen_field2012.txt
Sample40	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay40	NA	Data transformation	d_polapgen_field2012.txt
Sample41	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay41	NA	Data transformation	d_polapgen_field2012.txt
Sample42	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay42	NA	Data transformation	d_polapgen_field2012.txt
Sample43	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay43	NA	Data transformation	d_polapgen_field2012.txt
Sample44	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay44	NA	Data transformation	d_polapgen_field2012.txt
Sample45	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay45	NA	Data transformation	d_polapgen_field2012.txt
Sample46	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay46	NA	Data transformation	d_polapgen_field2012.txt
Sample47	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay47	NA	Data transformation	d_polapgen_field2012.txt
Sample48	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay48	NA	Data transformation	d_polapgen_field2012.txt
Sample49	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay49	NA	Data transformation	d_polapgen_field2012.txt
Sample50	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay50	NA	Data transformation	d_polapgen_field2012.txt
Sample51	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay51	NA	Data transformation	d_polapgen_field2012.txt
Sample52	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay52	NA	Data transformation	d_polapgen_field2012.txt
Sample53	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay53	NA	Data transformation	d_polapgen_field2012.txt
Sample54	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay54	NA	Data transformation	d_polapgen_field2012.txt
Sample55	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay55	NA	Data transformation	d_polapgen_field2012.txt
Sample56	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay56	NA	Data transformation	d_polapgen_field2012.txt
Sample57	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay57	NA	Data transformation	d_polapgen_field2012.txt
Sample58	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay58	NA	Data transformation	d_polapgen_field2012.txt
Sample59	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay59	NA	Data transformation	d_polapgen_field2012.txt
Sample60	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay60	NA	Data transformation	d_polapgen_field2012.txt
Sample61	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay61	NA	Data transformation	d_polapgen_field2012.txt
Sample62	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay62	NA	Data transformation	d_polapgen_field2012.txt
Sample63	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay63	NA	Data transformation	d_polapgen_field2012.txt
Sample64	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay64	NA	Data transformation	d_polapgen_field2012.txt
Sample65	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay65	NA	Data transformation	d_polapgen_field2012.txt
Sample66	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay66	NA	Data transformation	d_polapgen_field2012.txt
Sample67	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay67	NA	Data transformation	d_polapgen_field2012.txt
Sample68	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay68	NA	Data transformation	d_polapgen_field2012.txt
Sample69	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay69	NA	Data transformation	d_polapgen_field2012.txt
Sample70	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay70	NA	Data transformation	d_polapgen_field2012.txt
Sample71	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay71	NA	Data transformation	d_polapgen_field2012.txt
Sample72	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay72	NA	Data transformation	d_polapgen_field2012.txt
Sample73	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay73	NA	Data transformation	d_polapgen_field2012.txt
Sample74	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay74	NA	Data transformation	d_polapgen_field2012.txt
Sample75	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay75	NA	Data transformation	d_polapgen_field2012.txt
Sample76	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay76	NA	Data transformation	d_polapgen_field2012.txt
Sample77	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay77	NA	Data transformation	d_polapgen_field2012.txt
Sample78	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay78	NA	Data transformation	d_polapgen_field2012.txt
Sample79	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay79	NA	Data transformation	d_polapgen_field2012.txt
Sample80	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay80	NA	Data transformation	d_polapgen_field2012.txt
Sample81	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay81	NA	Data transformation	d_polapgen_field2012.txt
Sample82	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay82	NA	Data transformation	d_polapgen_field2012.txt
Sample83	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay83	NA	Data transformation	d_polapgen_field2012.txt
Sample84	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay84	NA	Data transformation	d_polapgen_field2012.txt
Sample85	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay85	NA	Data transformation	d_polapgen_field2012.txt
Sample86	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay86	NA	Data transformation	d_polapgen_field2012.txt
Sample87	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay87	NA	Data transformation	d_polapgen_field2012.txt
Sample88	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay88	NA	Data transformation	d_polapgen_field2012.txt
Sample89	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay89	NA	Data transformation	d_polapgen_field2012.txt
Sample90	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay90	NA	Data transformation	d_polapgen_field2012.txt
Sample91	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay91	NA	Data transformation	d_polapgen_field2012.txt
Sample92	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay92	NA	Data transformation	d_polapgen_field2012.txt
Sample93	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay93	NA	Data transformation	d_polapgen_field2012.txt
Sample94	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay94	NA	Data transformation	d_polapgen_field2012.txt
Sample95	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay95	NA	Data transformation	d_polapgen_field2012.txt
Sample96	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay96	NA	Data transformation	d_polapgen_field2012.txt
Sample97	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay97	NA	Data transformation	d_polapgen_field2012.txt
Sample98	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay98	NA	Data transformation	d_polapgen_field2012.txt
Sample99	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay99	NA	Data transformation	d_polapgen_field2012.txt
Sample100	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay100	NA	Data transformation	d_polapgen_field2012.txt
Sample101	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay101	NA	Data transformation	d_polapgen_field2012.txt
Sample102	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay102	NA	Data transformation	d_polapgen_field2012.txt
Sample103	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay103	NA	Data transformation	d_polapgen_field2012.txt
Sample104	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay104	NA	Data transformation	d_polapgen_field2012.txt
Sample105	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay105	NA	Data transformation	d_polapgen_field2012.txt
Sample106	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay106	NA	Data transformation	d_polapgen_field2012.txt
Sample107	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay107	NA	Data transformation	d_polapgen_field2012.txt
Sample108	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay108	NA	Data transformation	d_polapgen_field2012.txt
Sample109	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay109	NA	Data transformation	d_polapgen_field2012.txt
Sample110	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay110	NA	Data transformation	d_polapgen_field2012.txt
Sample111	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay111	NA	Data transformation	d_polapgen_field2012.txt
Sample112	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay112	NA	Data transformation	d_polapgen_field2012.txt
Sample113	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay113	NA	Data transformation	d_polapgen_field2012.txt
Sample114	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay114	NA	Data transformation	d_polapgen_field2012.txt
Sample115	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay115	NA	Data transformation	d_polapgen_field2012.txt
Sample116	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay116	NA	Data transformation	d_polapgen_field2012.txt
Sample117	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay117	NA	Data transformation	d_polapgen_field2012.txt
Sample118	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay118	NA	Data transformation	d_polapgen_field2012.txt
Sample119	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay119	NA	Data transformation	d_polapgen_field2012.txt
Sample120	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay120	NA	Data transformation	d_polapgen_field2012.txt
Sample121	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay121	NA	Data transformation	d_polapgen_field2012.txt
Sample122	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay122	NA	Data transformation	d_polapgen_field2012.txt
Sample123	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay123	NA	Data transformation	d_polapgen_field2012.txt
Sample124	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay124	NA	Data transformation	d_polapgen_field2012.txt
Sample125	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay125	NA	Data transformation	d_polapgen_field2012.txt
Sample126	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay126	NA	Data transformation	d_polapgen_field2012.txt
Sample127	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay127	NA	Data transformation	d_polapgen_field2012.txt
Sample128	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay128	NA	Data transformation	d_polapgen_field2012.txt
Sample129	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay129	NA	Data transformation	d_polapgen_field2012.txt
Sample130	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay130	NA	Data transformation	d_polapgen_field2012.txt
Sample131	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay131	NA	Data transformation	d_polapgen_field2012.txt
Sample132	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay132	NA	Data transformation	d_polapgen_field2012.txt
Sample133	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay133	NA	Data transformation	d_polapgen_field2012.txt
Sample134	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay134	NA	Data transformation	d_polapgen_field2012.txt
Sample135	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay135	NA	Data transformation	d_polapgen_field2012.txt
Sample136	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay136	NA	Data transformation	d_polapgen_field2012.txt
Sample137	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay137	NA	Data transformation	d_polapgen_field2012.txt
Sample138	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay138	NA	Data transformation	d_polapgen_field2012.txt
Sample139	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay139	NA	Data transformation	d_polapgen_field2012.txt
Sample140	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay140	NA	Data transformation	d_polapgen_field2012.txt
Sample141	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay141	NA	Data transformation	d_polapgen_field2012.txt
Sample142	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay142	NA	Data transformation	d_polapgen_field2012.txt
Sample143	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay143	NA	Data transformation	d_polapgen_field2012.txt
Sample144	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay144	NA	Data transformation	d_polapgen_field2012.txt
Sample145	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay145	NA	Data transformation	d_polapgen_field2012.txt
Sample146	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay146	NA	Data transformation	d_polapgen_field2012.txt
Sample147	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay147	NA	Data transformation	d_polapgen_field2012.txt
Sample148	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay148	NA	Data transformation	d_polapgen_field2012.txt
Sample149	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay149	NA	Data transformation	d_polapgen_field2012.txt
Sample150	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay150	NA	Data transformation	d_polapgen_field2012.txt
Sample151	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay151	NA	Data transformation	d_polapgen_field2012.txt
Sample152	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay152	NA	Data transformation	d_polapgen_field2012.txt
Sample153	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay153	NA	Data transformation	d_polapgen_field2012.txt
Sample154	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay154	NA	Data transformation	d_polapgen_field2012.txt
Sample155	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay155	NA	Data transformation	d_polapgen_field2012.txt
Sample156	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay156	NA	Data transformation	d_polapgen_field2012.txt
Sample157	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay157	NA	Data transformation	d_polapgen_field2012.txt
Sample158	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay158	NA	Data transformation	d_polapgen_field2012.txt
Sample159	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay159	NA	Data transformation	d_polapgen_field2012.txt
Sample160	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay160	NA	Data transformation	d_polapgen_field2012.txt
Sample161	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay161	NA	Data transformation	d_polapgen_field2012.txt
Sample162	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay162	NA	Data transformation	d_polapgen_field2012.txt
