Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Infraspecific name]	Term Source REF	Term Accession Number	Characteristics[Seed origin]	Protocol REF	Parameter Value[Study start]	Parameter Value[Study duration]	Parameter Value[Growth facility]	Parameter Value[Geographic location]	Term Source REF	Term Accession Number	Factor Value[Block]	Protocol REF	Parameter Value[Rooting medium]	Term Source REF	Term Accession Number	Parameter Value[Plot size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sowing density]	Parameter Value[pH]	Protocol REF	Parameter Value[Air humidity]	Parameter Value[Daily photon flux]	Parameter Value[Length of light period]	Parameter Value[Day temperature]	Parameter Value[Night temperature]	Protocol REF	Parameter Value[N before fertilisation]	Parameter Value[Type of fertiliser]	Parameter Value[Amount of fertiliser]	Protocol REF	Parameter Value[Irrigation type]	Parameter Value[Volume]	Parameter Value[Frequency]	Protocol REF	Sample Name	Characteristics[Experimental unit type]
source6								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample46	plot
source7								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample47	plot
source8								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample48	plot
source9								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample49	plot
source10								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample50	plot
source11								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample51	plot
source12								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample52	plot
source13								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample53	plot
source14								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample54	plot
source15								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample55	plot
source16								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample56	plot
source17								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample57	plot
source18								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample58	plot
source19								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample59	plot
source20								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample60	plot
