Variable ID	Trait	Term Source REF	Term Accession Number	Method	Term Source REF	Term Accession Number	Scale	Term Source REF	Term Accession Number
RP GH	RP GH	TO	http://purl.obolibrary.org/obo/TO_0000366	Reproduction period: number of days between the appearance of the first flower and the plant complete senescence					
At1	At1	TO	http://purl.obolibrary.org/obo/TO_0000315						
At1 CFU2	At1 CFU2	TO	http://purl.obolibrary.org/obo/TO_0000315						
As	As	TO	http://purl.obolibrary.org/obo/TO_0000315	Four days after inoculation, leaves were scored by eye for disease symptom using a scale from 0 (no visible symptom) to 10 (leaves collapse and turn yellow), with an increment of 1.			other		
As CFU2	As CFU2	TO	http://purl.obolibrary.org/obo/TO_0000315						
Bs	Bs	TO	http://purl.obolibrary.org/obo/TO_0000315	Four days after inoculation, leaves were scored by eye for disease symptom using a scale from 0 (no visible symptom) to 10 (leaves collapse and turn yellow), with an increment of 1.					
Bs CFU2	Bs CFU2	TO	http://purl.obolibrary.org/obo/TO_0000315	<i>In planta</i> bacterial growth (number of CFU / leaf area) of the <i>P. viridiflava</i> strain was individually measured as described in Goss and Bergelson 2006					
At2	At2	TO	http://purl.obolibrary.org/obo/TO_0000315						
At2 CFU2	At2 CFU2	TO	http://purl.obolibrary.org/obo/TO_0000315						
As2	As2	TO	http://purl.obolibrary.org/obo/TO_0000315						
As2 CFU2	As2 CFU2	TO	http://purl.obolibrary.org/obo/TO_0000315						
FW 	FW 	TO	http://purl.obolibrary.org/obo/TO_0000652	Lesioning measured by fresh weight					
DW 	DW 	TO	http://purl.obolibrary.org/obo/TO_0000652	Lesioning measured by dry weight					
LES	LES	TO	http://purl.obolibrary.org/obo/TO_0000652	Lesioning is the presence in older leaves of necrotic spots, that spread to the whole leaf. Lesioned accessions were divided in three subgroups (mild, intermediate and severe) according to the severity of lesioning			binary		
YEL 	YEL 	TO	http://purl.obolibrary.org/obo/TO_0006060	Yellowing is a precocious,more diffused leaf chlorosis.Accessions were divided in three subgroups (mild, intermediate and severe) according to the severity of the yellowing.			binary		
LY 	LY 	TO	http://purl.obolibrary.org/obo/TO_0000652	Presence of lesioning and yellowing.			binary		
LN10	LN10	TO	http://purl.obolibrary.org/obo/TO_0000241	Plants were checked bi-weekly for presence of first buds, and the average leaf number at flowering time of 4 plants of the same accession were collected					
LN16	LN16	TO	http://purl.obolibrary.org/obo/TO_0000241	Plants were checked bi-weekly for presence of first buds, and the average leaf number at flowering time of 4 plants of the same accession were collected					
LN22	LN22	TO	http://purl.obolibrary.org/obo/TO_0000241	Plants were checked bi-weekly for presence of first buds, and the average leaf number at flowering time of 4 plants of the same accession were collected					
Silique 16	Silique 16	TO	http://purl.obolibrary.org/obo/TO_0002626	The length of 5 siliques was measured for each accession after growth had concluded					
Silique 22	Silique 22	TO	http://purl.obolibrary.org/obo/TO_0002626	The length of 5 siliques was measured for each accession after growth had concluded					
Germ 10	Germ 10	TO	http://purl.obolibrary.org/obo/TO_0006061	Days to germination of each accession were recorded daily at each temperature upon first emergence of cotyledons			days	UO	http://purl.obolibrary.org/obo/UO_0000033
Germ 16	Germ 16	TO	http://purl.obolibrary.org/obo/TO_0006061	Days to germination of each accession were recorded daily at each temperature upon first emergence of cotyledons			days	UO	http://purl.obolibrary.org/obo/UO_0000033
Germ 22	Germ 22	TO	http://purl.obolibrary.org/obo/TO_0006061	Days to germination of each accession were recorded daily at each temperature upon first emergence of cotyledons			days	UO	http://purl.obolibrary.org/obo/UO_0000033
Width 10	Width 10	TO	http://purl.obolibrary.org/obo/TO_0006062	The diameters of 4 plants of each accession were measured and the results were expressed as an average value across all available replicates.Plants were scored 8 weeks post germination					
Width 16	Width 16	TO	http://purl.obolibrary.org/obo/TO_0006062	The diameters of 4 plants of each accession were measured and the results were expressed as an average value across all available replicates.Plants were scored 5 weeks post germination					
Width 22	Width 22	TO	http://purl.obolibrary.org/obo/TO_0006062	The diameters of 4 plants of each accession were measured and the results were expressed as an average value across all available replicates.Plants were scored 5 weeks post germination					
Chlorosis 10	Chlorosis 10	TO	http://purl.obolibrary.org/obo/TO_0006060	Results expressed as binary data, determined by the presence (1) or absence (0) of chlorosis in all 4 plants / accession after 8wks of growth			binary		
Chlorosis 16	Chlorosis 16	TO	http://purl.obolibrary.org/obo/TO_0006060	Results expressed as binary data, determined by the presence (1) or absence (0) of chlorosis in all 4 plants / accession after 5wks of growth			binary		
Chlorosis 22	Chlorosis 22	TO	http://purl.obolibrary.org/obo/TO_0006060	Results expressed as binary data, determined by the presence (1) or absence (0) of chlorosis in all 4 plants / accession after 5wks of growth			binary		
Anthocyanin 10	Anthocyanin 10	TO	http://purl.obolibrary.org/obo/TO_0000071	Results expressed as binary data, determined by the presence (1) or absence (0) of anthocyanin in all 4 plants / accession after 8wks of growth			binary		
Anthocyanin 16	Anthocyanin 16	TO	http://purl.obolibrary.org/obo/TO_0000071	Results expressed as binary data, determined by the presence (1) or absence (0) of anthocyanin in all 4 plants / accession after 5wks of growth			binary		
Anthocyanin 22	Anthocyanin 22	TO	http://purl.obolibrary.org/obo/TO_0000071	Results expressed as binary data, determined by the presence (1) or absence (0) of anthocyanin in all 4 plants / accession after 5wks of growth			binary		
Leaf serr 10	Leaf serr 10	TO	http://purl.obolibrary.org/obo/TO_0006063	Average severity of serration across 4 plants was scored between 0 (entire lamina) and 1.5 (jagged serration) after 8 weeks of growth					
Leaf serr 16	Leaf serr 16	TO	http://purl.obolibrary.org/obo/TO_0006063	Average severity of serration across 4 plants was scored between 0 (entire lamina) and 1.5 (jagged serration) after 5 weeks of growth					
Leaf serr 22	Leaf serr 22	TO	http://purl.obolibrary.org/obo/TO_0006063	Average severity of serration across 4 plants was scored between 0 (entire lamina) and 1.5 (jagged serration) after 5 weeks of growth					
Leaf roll 10	Leaf roll 10	TO	http://purl.obolibrary.org/obo/TO_0006063	Results expressed as binary data, determined by the presence (1) or absence (0) of rolled leaves in all 4 plants / accession at 8 weeks growth			binary		
Leaf roll 16	Leaf roll 16	TO	http://purl.obolibrary.org/obo/TO_0006064	Results expressed as binary data, determined by the presence (1) or absence (0) of rolled leaves in all 4 plants / accession at 5 weeks growth			binary		
Leaf roll 22	Leaf roll 22	TO	http://purl.obolibrary.org/obo/TO_0006064	Results expressed as binary data, determined by the presence (1) or absence (0) of rolled leaves in all 4 plants / accession at 5 weeks growth			binary		
Rosette Erect 22	Rosette Erect 22	TO	http://purl.obolibrary.org/obo/TO_0006064	"(22&deg;C was the only temperature at which this phenotype was frequently observed). Results were expressed as binary data, determined by the central rosette being erect (1) or not (0) in all 4 plants / accession phenotyped at 5 weeks post germination"					
Hypocotyl length	Hypocotyl length	TO	http://purl.obolibrary.org/obo/TO_0006065	After seven days growth under the photocycle and thermocycle treatment,plants were flattened directly on the agar and imaged on a flatbed scanner. Hypocotyl lengths were determined using NIH Image					
Trichome avg C	Trichome avg C	TO	http://purl.obolibrary.org/obo/TO_0006066	Measurements were collected from leaf disks removed from the 11th leaf of plants that had been treated with 0.6ml of a water control (C). Trichome density was calculated as the trichome number per disk divided by the disk area					
Trichome avg JA	Trichome avg JA	TO	http://purl.obolibrary.org/obo/TO_0006066	Measurements were collected from leaf disks removed from the 11th leaf of plants that had been treated with 0.6 ml of a 0.45mM solution of jasmonic acid (Sigma J-2500) in water (JA). Trichome density was calculated as the trichome number per disk divided by the disk area					
Aphid number	Aphid number	TO	http://purl.obolibrary.org/obo/TO_0006067	On day 25 of growth,two alate females of the common peach aphid, <i>Myzus persicae</i>,were placed on each of four plants of each of the 96 genotypes. Nine days later, the number of offspring produced by these aphids on each plant was recorded.					
Bacterial titer	Bacterial titer	TO	http://purl.obolibrary.org/obo/TO_0000315	"Following inoculation into leaf  tissues, the titers of bacteria were measured at 0 and 4 days. Bacterial titres were measured from hole-punched leaf disks ground in 200&mu;L of 10 mM MgSO4. Measurements were expressed as colony forming units per unit area and replicated in triplicate."					
Seedling Growth	Seedling Growth	TO	http://purl.obolibrary.org/obo/TO_0000515	Seedling growth rate was given by leaf area  divided by the number of days of growth since sowing ( in cm<SUP>2</SUP>/day)					
Vern Growth	Vern Growth	TO	http://purl.obolibrary.org/obo/TO_0000515	Vegetative growth rate during vernalization was estimated as the increment of cm<SUP>2</SUP> leaf area per day between each of the three time points for which leaf area was measured					
After Vern Growth	After Vern Growth	TO	http://purl.obolibrary.org/obo/TO_0000515	Vegetative growth rate after vernalization was estimated as the increment of cm<SUP>2</SUP> leaf area per day between each of the three time points for which leaf area was measured					
Secondary Dormancy	Secondary Dormancy	TO	http://purl.obolibrary.org/obo/TO_0000202	Secondary dormancy was given by the slope between the germination percentages of non-dormant seeds after one and six weeks of cold treatment. Viability of non germinating seeds after cold treatment was confirmed as described in Cadman et al., 2006					
Germ in dark	Germ in dark	TO	http://purl.obolibrary.org/obo/TO_0006068	"The ability to germinate in the dark at 4&deg;C was measured as the percentage of non dormant seeds that can germinate during 1-week long cold exposure, in the absence of light"			days	UO	http://purl.obolibrary.org/obo/UO_0000033
DSDS50	DSDS50	TO	http://purl.obolibrary.org/obo/TO_0006069	"Number of days of seed dry storage required to reach 50&#37; germination, or DSDS50 value (Alonso-Blanco et al., 2003)"					
Seed bank 133-91	Seed bank 133-91	TO	http://purl.obolibrary.org/obo/TO_0000253	Genotypes consistently decreased their percentage of germination between 91 and 133 days of dry storage. The time point for this sudden reduction in germination rate was scored by the slope between germination percentages at these two time points					
Storage 7 days	Storage 7 days	TO	http://purl.obolibrary.org/obo/TO_0000253	Primary dormancy was measured as the progressive increase of germination rate measured after 7 days of dry storage					
Storage 28 days	Storage 28 days	TO	http://purl.obolibrary.org/obo/TO_0000253	Primary dormancy was measured as the progressive increase of germination rate measured after 28 days of dry storage					
Storage 56 days	Storage 56 days	TO	http://purl.obolibrary.org/obo/TO_0000253	Primary dormancy was measured as the progressive increase of germination rate measured after 56 days of dry storage					
