Sample Name	Protocol REF	Parameter Value[Organism part]	Term Source REF	Term Accession Number	Parameter Value[Trait Definition File]	Assay Name	Raw Data File	Protocol REF	Derived Data File
sample156	Phenotyping				tdf.txt	assay591		Data transformation	d_data.txt
sample157	Phenotyping				tdf.txt	assay763		Data transformation	d_data.txt
sample158	Phenotyping				tdf.txt	assay410		Data transformation	d_data.txt
sample159	Phenotyping				tdf.txt	assay307		Data transformation	d_data.txt
sample160	Phenotyping				tdf.txt	assay1144		Data transformation	d_data.txt
sample161	Phenotyping				tdf.txt	assay1033		Data transformation	d_data.txt
sample162	Phenotyping				tdf.txt	assay212		Data transformation	d_data.txt
sample163	Phenotyping				tdf.txt	assay23		Data transformation	d_data.txt
sample164	Phenotyping				tdf.txt	assay866		Data transformation	d_data.txt
sample165	Phenotyping				tdf.txt	assay1034		Data transformation	d_data.txt
sample166	Phenotyping				tdf.txt	assay1145		Data transformation	d_data.txt
sample167	Phenotyping				tdf.txt	assay213		Data transformation	d_data.txt
sample168	Phenotyping				tdf.txt	assay411		Data transformation	d_data.txt
sample169	Phenotyping				tdf.txt	assay764		Data transformation	d_data.txt
sample170	Phenotyping				tdf.txt	assay24		Data transformation	d_data.txt
sample171	Phenotyping				tdf.txt	assay592		Data transformation	d_data.txt
sample172	Phenotyping				tdf.txt	assay308		Data transformation	d_data.txt
sample173	Phenotyping				tdf.txt	assay867		Data transformation	d_data.txt
sample174	Phenotyping				tdf.txt	assay593		Data transformation	d_data.txt
sample175	Phenotyping				tdf.txt	assay868		Data transformation	d_data.txt
sample176	Phenotyping				tdf.txt	assay309		Data transformation	d_data.txt
sample177	Phenotyping				tdf.txt	assay214		Data transformation	d_data.txt
sample178	Phenotyping				tdf.txt	assay1146		Data transformation	d_data.txt
sample179	Phenotyping				tdf.txt	assay765		Data transformation	d_data.txt
sample180	Phenotyping				tdf.txt	assay1035		Data transformation	d_data.txt
sample181	Phenotyping				tdf.txt	assay412		Data transformation	d_data.txt
sample182	Phenotyping				tdf.txt	assay25		Data transformation	d_data.txt
sample183	Phenotyping				tdf.txt	assay413		Data transformation	d_data.txt
sample184	Phenotyping				tdf.txt	assay1036		Data transformation	d_data.txt
sample185	Phenotyping				tdf.txt	assay869		Data transformation	d_data.txt
sample186	Phenotyping				tdf.txt	assay26		Data transformation	d_data.txt
sample187	Phenotyping				tdf.txt	assay594		Data transformation	d_data.txt
sample188	Phenotyping				tdf.txt	assay215		Data transformation	d_data.txt
sample189	Phenotyping				tdf.txt	assay1147		Data transformation	d_data.txt
sample190	Phenotyping				tdf.txt	assay310		Data transformation	d_data.txt
sample191	Phenotyping				tdf.txt	assay766		Data transformation	d_data.txt
sample192	Phenotyping				tdf.txt	assay1037		Data transformation	d_data.txt
sample193	Phenotyping				tdf.txt	assay414		Data transformation	d_data.txt
sample194	Phenotyping				tdf.txt	assay595		Data transformation	d_data.txt
sample195	Phenotyping				tdf.txt	assay870		Data transformation	d_data.txt
sample196	Phenotyping				tdf.txt	assay27		Data transformation	d_data.txt
sample197	Phenotyping				tdf.txt	assay1148		Data transformation	d_data.txt
sample198	Phenotyping				tdf.txt	assay216		Data transformation	d_data.txt
sample199	Phenotyping				tdf.txt	assay767		Data transformation	d_data.txt
sample200	Phenotyping				tdf.txt	assay311		Data transformation	d_data.txt
sample201	Phenotyping				tdf.txt	assay217		Data transformation	d_data.txt
sample202	Phenotyping				tdf.txt	assay415		Data transformation	d_data.txt
sample203	Phenotyping				tdf.txt	assay871		Data transformation	d_data.txt
sample204	Phenotyping				tdf.txt	assay28		Data transformation	d_data.txt
sample205	Phenotyping				tdf.txt	assay1038		Data transformation	d_data.txt
sample206	Phenotyping				tdf.txt	assay596		Data transformation	d_data.txt
sample207	Phenotyping				tdf.txt	assay312		Data transformation	d_data.txt
sample208	Phenotyping				tdf.txt	assay768		Data transformation	d_data.txt
sample209	Phenotyping				tdf.txt	assay1149		Data transformation	d_data.txt
sample210	Phenotyping				tdf.txt	assay313		Data transformation	d_data.txt
sample211	Phenotyping				tdf.txt	assay1150		Data transformation	d_data.txt
sample212	Phenotyping				tdf.txt	assay29		Data transformation	d_data.txt
sample213	Phenotyping				tdf.txt	assay218		Data transformation	d_data.txt
sample214	Phenotyping				tdf.txt	assay872		Data transformation	d_data.txt
sample215	Phenotyping				tdf.txt	assay597		Data transformation	d_data.txt
sample216	Phenotyping				tdf.txt	assay416		Data transformation	d_data.txt
sample217	Phenotyping				tdf.txt	assay1039		Data transformation	d_data.txt
sample218	Phenotyping				tdf.txt	assay769		Data transformation	d_data.txt
sample219	Phenotyping				tdf.txt	assay770		Data transformation	d_data.txt
sample220	Phenotyping				tdf.txt	assay598		Data transformation	d_data.txt
sample221	Phenotyping				tdf.txt	assay1151		Data transformation	d_data.txt
sample222	Phenotyping				tdf.txt	assay417		Data transformation	d_data.txt
sample223	Phenotyping				tdf.txt	assay30		Data transformation	d_data.txt
sample224	Phenotyping				tdf.txt	assay219		Data transformation	d_data.txt
sample225	Phenotyping				tdf.txt	assay314		Data transformation	d_data.txt
sample226	Phenotyping				tdf.txt	assay873		Data transformation	d_data.txt
sample227	Phenotyping				tdf.txt	assay1040		Data transformation	d_data.txt
sample228	Phenotyping				tdf.txt	assay599		Data transformation	d_data.txt
sample229	Phenotyping				tdf.txt	assay418		Data transformation	d_data.txt
sample230	Phenotyping				tdf.txt	assay315		Data transformation	d_data.txt
sample231	Phenotyping				tdf.txt	assay1152		Data transformation	d_data.txt
sample232	Phenotyping				tdf.txt	assay220		Data transformation	d_data.txt
sample233	Phenotyping				tdf.txt	assay771		Data transformation	d_data.txt
sample234	Phenotyping				tdf.txt	assay31		Data transformation	d_data.txt
sample235	Phenotyping				tdf.txt	assay1041		Data transformation	d_data.txt
sample236	Phenotyping				tdf.txt	assay874		Data transformation	d_data.txt
sample237	Phenotyping				tdf.txt	assay1042		Data transformation	d_data.txt
sample238	Phenotyping				tdf.txt	assay419		Data transformation	d_data.txt
sample239	Phenotyping				tdf.txt	assay221		Data transformation	d_data.txt
sample240	Phenotyping				tdf.txt	assay875		Data transformation	d_data.txt
sample241	Phenotyping				tdf.txt	assay316		Data transformation	d_data.txt
sample242	Phenotyping				tdf.txt	assay772		Data transformation	d_data.txt
sample243	Phenotyping				tdf.txt	assay600		Data transformation	d_data.txt
sample244	Phenotyping				tdf.txt	assay1153		Data transformation	d_data.txt
sample245	Phenotyping				tdf.txt	assay32		Data transformation	d_data.txt
sample246	Phenotyping				tdf.txt	assay420		Data transformation	d_data.txt
sample247	Phenotyping				tdf.txt	assay601		Data transformation	d_data.txt
sample248	Phenotyping				tdf.txt	assay317		Data transformation	d_data.txt
sample249	Phenotyping				tdf.txt	assay33		Data transformation	d_data.txt
sample250	Phenotyping				tdf.txt	assay876		Data transformation	d_data.txt
sample251	Phenotyping				tdf.txt	assay1043		Data transformation	d_data.txt
sample252	Phenotyping				tdf.txt	assay1154		Data transformation	d_data.txt
sample253	Phenotyping				tdf.txt	assay773		Data transformation	d_data.txt
sample254	Phenotyping				tdf.txt	assay222		Data transformation	d_data.txt
sample255	Phenotyping				tdf.txt	assay318		Data transformation	d_data.txt
sample256	Phenotyping				tdf.txt	assay1044		Data transformation	d_data.txt
sample257	Phenotyping				tdf.txt	assay34		Data transformation	d_data.txt
sample258	Phenotyping				tdf.txt	assay223		Data transformation	d_data.txt
sample259	Phenotyping				tdf.txt	assay1155		Data transformation	d_data.txt
sample260	Phenotyping				tdf.txt	assay421		Data transformation	d_data.txt
sample261	Phenotyping				tdf.txt	assay602		Data transformation	d_data.txt
sample262	Phenotyping				tdf.txt	assay774		Data transformation	d_data.txt
sample263	Phenotyping				tdf.txt	assay877		Data transformation	d_data.txt
sample264	Phenotyping				tdf.txt	assay422		Data transformation	d_data.txt
sample265	Phenotyping				tdf.txt	assay775		Data transformation	d_data.txt
sample266	Phenotyping				tdf.txt	assay603		Data transformation	d_data.txt
sample267	Phenotyping				tdf.txt	assay224		Data transformation	d_data.txt
sample268	Phenotyping				tdf.txt	assay878		Data transformation	d_data.txt
sample269	Phenotyping				tdf.txt	assay35		Data transformation	d_data.txt
sample270	Phenotyping				tdf.txt	assay1045		Data transformation	d_data.txt
sample271	Phenotyping				tdf.txt	assay1156		Data transformation	d_data.txt
sample272	Phenotyping				tdf.txt	assay319		Data transformation	d_data.txt
sample273	Phenotyping				tdf.txt	assay604		Data transformation	d_data.txt
sample274	Phenotyping				tdf.txt	assay1157		Data transformation	d_data.txt
sample275	Phenotyping				tdf.txt	assay879		Data transformation	d_data.txt
sample276	Phenotyping				tdf.txt	assay423		Data transformation	d_data.txt
sample277	Phenotyping				tdf.txt	assay225		Data transformation	d_data.txt
sample278	Phenotyping				tdf.txt	assay1046		Data transformation	d_data.txt
sample279	Phenotyping				tdf.txt	assay776		Data transformation	d_data.txt
sample280	Phenotyping				tdf.txt	assay36		Data transformation	d_data.txt
sample281	Phenotyping				tdf.txt	assay320		Data transformation	d_data.txt
sample282	Phenotyping				tdf.txt	assay1158		Data transformation	d_data.txt
sample283	Phenotyping				tdf.txt	assay321		Data transformation	d_data.txt
sample284	Phenotyping				tdf.txt	assay777		Data transformation	d_data.txt
sample285	Phenotyping				tdf.txt	assay880		Data transformation	d_data.txt
sample286	Phenotyping				tdf.txt	assay37		Data transformation	d_data.txt
sample287	Phenotyping				tdf.txt	assay424		Data transformation	d_data.txt
sample288	Phenotyping				tdf.txt	assay605		Data transformation	d_data.txt
sample289	Phenotyping				tdf.txt	assay226		Data transformation	d_data.txt
sample290	Phenotyping				tdf.txt	assay1047		Data transformation	d_data.txt
sample291	Phenotyping				tdf.txt	assay322		Data transformation	d_data.txt
sample292	Phenotyping				tdf.txt	assay425		Data transformation	d_data.txt
sample293	Phenotyping				tdf.txt	assay38		Data transformation	d_data.txt
sample294	Phenotyping				tdf.txt	assay227		Data transformation	d_data.txt
sample295	Phenotyping				tdf.txt	assay1048		Data transformation	d_data.txt
sample296	Phenotyping				tdf.txt	assay606		Data transformation	d_data.txt
sample297	Phenotyping				tdf.txt	assay778		Data transformation	d_data.txt
sample298	Phenotyping				tdf.txt	assay881		Data transformation	d_data.txt
sample299	Phenotyping				tdf.txt	assay1159		Data transformation	d_data.txt
sample300	Phenotyping				tdf.txt	assay228		Data transformation	d_data.txt
sample301	Phenotyping				tdf.txt	assay1160		Data transformation	d_data.txt
sample302	Phenotyping				tdf.txt	assay882		Data transformation	d_data.txt
sample303	Phenotyping				tdf.txt	assay39		Data transformation	d_data.txt
sample304	Phenotyping				tdf.txt	assay779		Data transformation	d_data.txt
sample305	Phenotyping				tdf.txt	assay607		Data transformation	d_data.txt
sample306	Phenotyping				tdf.txt	assay323		Data transformation	d_data.txt
sample307	Phenotyping				tdf.txt	assay426		Data transformation	d_data.txt
sample308	Phenotyping				tdf.txt	assay1049		Data transformation	d_data.txt
sample309	Phenotyping				tdf.txt	assay40		Data transformation	d_data.txt
sample310	Phenotyping				tdf.txt	assay883		Data transformation	d_data.txt
sample311	Phenotyping				tdf.txt	assay229		Data transformation	d_data.txt
sample312	Phenotyping				tdf.txt	assay427		Data transformation	d_data.txt
sample313	Phenotyping				tdf.txt	assay608		Data transformation	d_data.txt
sample314	Phenotyping				tdf.txt	assay324		Data transformation	d_data.txt
sample315	Phenotyping				tdf.txt	assay1161		Data transformation	d_data.txt
sample316	Phenotyping				tdf.txt	assay780		Data transformation	d_data.txt
sample317	Phenotyping				tdf.txt	assay1050		Data transformation	d_data.txt
sample318	Phenotyping				tdf.txt	assay609		Data transformation	d_data.txt
sample319	Phenotyping				tdf.txt	assay1162		Data transformation	d_data.txt
sample320	Phenotyping				tdf.txt	assay41		Data transformation	d_data.txt
sample321	Phenotyping				tdf.txt	assay781		Data transformation	d_data.txt
sample322	Phenotyping				tdf.txt	assay1051		Data transformation	d_data.txt
sample323	Phenotyping				tdf.txt	assay230		Data transformation	d_data.txt
sample324	Phenotyping				tdf.txt	assay884		Data transformation	d_data.txt
sample325	Phenotyping				tdf.txt	assay428		Data transformation	d_data.txt
sample326	Phenotyping				tdf.txt	assay325		Data transformation	d_data.txt
sample327	Phenotyping				tdf.txt	assay429		Data transformation	d_data.txt
sample328	Phenotyping				tdf.txt	assay610		Data transformation	d_data.txt
sample329	Phenotyping				tdf.txt	assay42		Data transformation	d_data.txt
sample330	Phenotyping				tdf.txt	assay885		Data transformation	d_data.txt
sample331	Phenotyping				tdf.txt	assay1052		Data transformation	d_data.txt
sample332	Phenotyping				tdf.txt	assay1163		Data transformation	d_data.txt
sample333	Phenotyping				tdf.txt	assay231		Data transformation	d_data.txt
sample334	Phenotyping				tdf.txt	assay782		Data transformation	d_data.txt
sample335	Phenotyping				tdf.txt	assay326		Data transformation	d_data.txt
sample336	Phenotyping				tdf.txt	assay43		Data transformation	d_data.txt
sample337	Phenotyping				tdf.txt	assay1053		Data transformation	d_data.txt
sample338	Phenotyping				tdf.txt	assay611		Data transformation	d_data.txt
sample339	Phenotyping				tdf.txt	assay430		Data transformation	d_data.txt
sample340	Phenotyping				tdf.txt	assay327		Data transformation	d_data.txt
sample341	Phenotyping				tdf.txt	assay232		Data transformation	d_data.txt
sample342	Phenotyping				tdf.txt	assay886		Data transformation	d_data.txt
sample343	Phenotyping				tdf.txt	assay1164		Data transformation	d_data.txt
sample344	Phenotyping				tdf.txt	assay783		Data transformation	d_data.txt
sample345	Phenotyping				tdf.txt	assay233		Data transformation	d_data.txt
sample346	Phenotyping				tdf.txt	assay431		Data transformation	d_data.txt
sample347	Phenotyping				tdf.txt	assay1165		Data transformation	d_data.txt
sample348	Phenotyping				tdf.txt	assay328		Data transformation	d_data.txt
sample349	Phenotyping				tdf.txt	assay887		Data transformation	d_data.txt
sample350	Phenotyping				tdf.txt	assay44		Data transformation	d_data.txt
sample351	Phenotyping				tdf.txt	assay784		Data transformation	d_data.txt
sample352	Phenotyping				tdf.txt	assay612		Data transformation	d_data.txt
sample353	Phenotyping				tdf.txt	assay1054		Data transformation	d_data.txt
sample354	Phenotyping				tdf.txt	assay432		Data transformation	d_data.txt
sample355	Phenotyping				tdf.txt	assay1055		Data transformation	d_data.txt
sample356	Phenotyping				tdf.txt	assay45		Data transformation	d_data.txt
sample357	Phenotyping				tdf.txt	assay888		Data transformation	d_data.txt
sample358	Phenotyping				tdf.txt	assay785		Data transformation	d_data.txt
sample359	Phenotyping				tdf.txt	assay329		Data transformation	d_data.txt
sample360	Phenotyping				tdf.txt	assay234		Data transformation	d_data.txt
sample361	Phenotyping				tdf.txt	assay613		Data transformation	d_data.txt
sample362	Phenotyping				tdf.txt	assay1166		Data transformation	d_data.txt
sample363	Phenotyping				tdf.txt	assay786		Data transformation	d_data.txt
sample364	Phenotyping				tdf.txt	assay1167		Data transformation	d_data.txt
sample365	Phenotyping				tdf.txt	assay330		Data transformation	d_data.txt
sample366	Phenotyping				tdf.txt	assay46		Data transformation	d_data.txt
sample367	Phenotyping				tdf.txt	assay614		Data transformation	d_data.txt
sample368	Phenotyping				tdf.txt	assay889		Data transformation	d_data.txt
sample369	Phenotyping				tdf.txt	assay433		Data transformation	d_data.txt
sample370	Phenotyping				tdf.txt	assay235		Data transformation	d_data.txt
sample371	Phenotyping				tdf.txt	assay1056		Data transformation	d_data.txt
sample372	Phenotyping				tdf.txt	assay434		Data transformation	d_data.txt
sample373	Phenotyping				tdf.txt	assay47		Data transformation	d_data.txt
sample374	Phenotyping				tdf.txt	assay1057		Data transformation	d_data.txt
sample375	Phenotyping				tdf.txt	assay236		Data transformation	d_data.txt
sample376	Phenotyping				tdf.txt	assay787		Data transformation	d_data.txt
sample377	Phenotyping				tdf.txt	assay615		Data transformation	d_data.txt
sample378	Phenotyping				tdf.txt	assay890		Data transformation	d_data.txt
sample379	Phenotyping				tdf.txt	assay331		Data transformation	d_data.txt
sample380	Phenotyping				tdf.txt	assay891		Data transformation	d_data.txt
sample381	Phenotyping				tdf.txt	assay435		Data transformation	d_data.txt
sample382	Phenotyping				tdf.txt	assay616		Data transformation	d_data.txt
sample383	Phenotyping				tdf.txt	assay48		Data transformation	d_data.txt
sample384	Phenotyping				tdf.txt	assay237		Data transformation	d_data.txt
sample385	Phenotyping				tdf.txt	assay788		Data transformation	d_data.txt
sample386	Phenotyping				tdf.txt	assay1058		Data transformation	d_data.txt
sample387	Phenotyping				tdf.txt	assay1168		Data transformation	d_data.txt
sample388	Phenotyping				tdf.txt	assay332		Data transformation	d_data.txt
sample389	Phenotyping				tdf.txt	assay436		Data transformation	d_data.txt
sample390	Phenotyping				tdf.txt	assay789		Data transformation	d_data.txt
sample391	Phenotyping				tdf.txt	assay49		Data transformation	d_data.txt
sample392	Phenotyping				tdf.txt	assay238		Data transformation	d_data.txt
sample393	Phenotyping				tdf.txt	assay892		Data transformation	d_data.txt
